,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Plant FIPS state code,Plant FIPS county code,Latitude,Longitude,Plant primary coal/oil/gas/ other fossil fuel category,Plant capacity factor,Plant nameplate capacity (MW),Plant annual coal net generation (MWh),total population (ACS2018),Total Households,Buffer distance,State percentile for EJ Index for Particulate Matter (PxM 2.5),Regional percentile for EJ Index for Particulate Matter (PM 2.5),National percentile for EJ Index for Particulate Matter (PM 2.5),Raw data for People of Color Population,State percentile for People of Color Population,Regional percentile for People of Color Population,National percentile for People of Color Population,State average for People of Color Population,Regional average for People of Color Population,National average for People of Color Population,Raw data for Low Income Population,State percentile for Low Income Population,Regional percentile for Low Income Population,National percentile for Low Income Population,State average for Low Income Population,Regional average for Low Income Population,National average for Low Income Population,Raw data for Linguistically Isolated Population,State percentile for Linguistically Isolated Population,Regional percentile for Linguistically Isolated Population,National percentile for Linguistically Isolated Population,State average for Linguistically Isolated Population,Regional average for Linguistically Isolated Population,National average for Linguistically Isolated Population,Raw data for Population with Less Than High School Education,State percentile for Population with Less Than High School Education,Regional percentile for Population with Less Than High School Education,National percentile for Population with Less Than High School Education,State average for Population with Less Than High School Education,Regional average for Population with Less Than High School Education,National average for Population with Less Than High School Education,PM 2.5 Emssions (tons)
1834,2019,CO,Nucla,527,"Tri-State G & T Assn, Inc",8,85.0,38.2383,-108.5069,COAL,0.10537,113.8,104790.66,569,268,3 miles,56.0,61.0,47.0,0.06,4.0,12.0,12.0,0.32,0.25,0.39,0.29,61.0,58.0,50.0,0.27,0.28,0.33,0.0,47.0,56.0,45.0,0.03,0.02,0.04,0.09,65.0,67.0,48.0,0.09,0.08,0.13,9.48721852407425
1835,2019,NY,"Cayuga Operating Company, LLC",2535,"Cayuga Operating Company, LLC",36,109.0,42.6028,-76.6336,COAL,0.02906,322.5,81208.898,999,404,3 miles,23.0,27.0,31.0,0.08,18.0,15.0,18.0,0.44,0.44,0.39,0.1,17.0,21.0,14.0,0.31,0.29,0.33,0.0,35.0,34.0,45.0,0.08,0.08,0.04,0.03,14.0,16.0,16.0,0.14,0.13,0.13,0.026888539653390584
1848,2019,PA,Mt. Carmel Cogeneration,10343,Mount Carmel Cogen Inc,42,97.0,40.811189,-76.452951,COAL,0.19596,47.3,77302.514,12502,5915,3 miles,61.0,50.0,39.0,0.03,18.0,12.0,6.0,0.23,0.33,0.39,0.41,77.0,78.0,69.0,0.29,0.27,0.33,0.0,57.0,55.0,45.0,0.02,0.03,0.04,0.13,73.0,69.0,63.0,0.1,0.1,0.13,9.084974719662169
1852,2019,AK,Utility Plants Section,50308,Doyon Utilities - Ft. Wainwright,2,90.0,64.825601,-147.648627,COAL,0.36125,22.5,71202.0,23472,7866,3 miles,,,,0.42,64.0,79.0,60.0,0.39,0.28,0.39,0.32,71.0,60.0,56.0,0.25,0.3,0.33,0.01,62.0,53.0,50.0,0.02,0.03,0.04,0.07,56.0,51.0,41.0,0.07,0.09,0.13,3.7795662950174687
1854,2019,AK,Eielson AFB Central Heat & Power Plant,50392,U S Air Force-Eielson AFB,2,90.0,64.67141,-147.075988,COAL,0.25541,31.0,69081.0,3031,1001,3 miles,,,,0.27,41.0,59.0,46.0,0.39,0.28,0.39,0.24,54.0,43.0,41.0,0.25,0.3,0.33,0.03,77.0,68.0,64.0,0.02,0.03,0.04,0.03,26.0,22.0,17.0,0.07,0.09,0.13,3.31058512935534
1894,2019,GA,McIntosh (6124),6124,Georgia Power Co,13,103.0,32.356287,-81.168347,COAL,0.00693,988.0,16104.632,1153,403,3 miles,21.0,21.0,20.0,0.22,26.0,37.0,40.0,0.47,0.39,0.39,0.25,34.0,32.0,43.0,0.36,0.36,0.33,0.04,77.0,74.0,67.0,0.03,0.03,0.04,0.17,69.0,70.0,74.0,0.13,0.13,0.13,3.073335488680521
1902,2019,OH,Dover,2914,City of Dover - (OH),39,157.0,40.520066,-81.46815,COAL,0.1191,53.6,55138.276,28042,11518,3 miles,56.0,49.0,37.0,0.11,49.0,41.0,22.0,0.21,0.25,0.39,0.38,65.0,69.0,65.0,0.32,0.3,0.33,0.02,76.0,68.0,53.0,0.01,0.02,0.04,0.14,75.0,76.0,65.0,0.1,0.1,0.13,19.408937523248166
1922,2019,IA,University of Iowa Main Power Plant,54775,University of Iowa,19,103.0,41.6572,-91.54,COAL,0.13403,46.5,13551.259,74827,30192,3 miles,88.0,82.0,62.0,0.26,83.0,75.0,45.0,0.14,0.2,0.39,0.45,84.0,77.0,74.0,0.29,0.31,0.33,0.06,89.0,90.0,74.0,0.02,0.02,0.04,0.05,39.0,34.0,27.0,0.08,0.09,0.13,4.033023712967279
1963,2019,NC,University of NC Chapel Hill,54276,University of North Carolina,37,135.0,35.9069,-79.0617,COAL,0.10479,56.0,36319.684,61717,21198,3 miles,57.0,55.0,59.0,0.3,48.0,48.0,49.0,0.37,0.39,0.39,0.38,57.0,56.0,65.0,0.36,0.36,0.33,0.03,77.0,72.0,65.0,0.02,0.03,0.04,0.05,26.0,24.0,30.0,0.13,0.13,0.13,1.0341619633512324
1991,2019,VA,Birchwood Power Facility,54304,Birchwood Power Partners LP,51,99.0,38.2667,-77.3147,COAL,0.02136,258.3,46172.781,3405,1228,3 miles,16.0,21.0,16.0,0.25,38.0,53.0,44.0,0.38,0.33,0.39,0.16,39.0,34.0,26.0,0.25,0.27,0.33,0.0,52.0,55.0,45.0,0.03,0.03,0.04,0.1,55.0,57.0,52.0,0.11,0.1,0.13,0.6548632464932592
2060,2019,MI,Eckert Station,1831,Lansing Board of Water and Light,26,65.0,42.71839,-84.55808,COAL,0.01359,375.0,44295.771,92083,38645,3 miles,81.0,81.0,67.0,0.44,81.0,79.0,62.0,0.25,0.25,0.39,0.5,80.0,82.0,80.0,0.33,0.3,0.33,0.03,81.0,76.0,62.0,0.02,0.02,0.04,0.11,66.0,66.0,56.0,0.09,0.1,0.13,2.9641986804542286
2270,2019,OH,ArcelorMittal Warren,54207,ArcelorMittal Warren Inc,39,155.0,41.2119,-80.8176,COAL,0.24616,20.5,0.0,36676,15881,3 miles,81.0,79.0,65.0,0.29,75.0,69.0,47.0,0.21,0.25,0.39,0.59,87.0,88.0,87.0,0.32,0.3,0.33,0.0,69.0,59.0,45.0,0.01,0.02,0.04,0.15,78.0,78.0,68.0,0.1,0.1,0.13,1.635839618902565
2343,2019,IA,Prairie Creek,1073,Interstate Power and Light Co,19,113.0,41.944039,-91.639167,COAL,0.02086,236.4,37221.753,34865,14391,3 miles,59.0,54.0,41.0,0.19,76.0,66.0,36.0,0.14,0.2,0.39,0.38,74.0,67.0,64.0,0.29,0.31,0.33,0.01,72.0,72.0,51.0,0.02,0.02,0.04,0.1,74.0,65.0,53.0,0.08,0.09,0.13,8.092196829762337
2370,2019,IN,Whitewater Valley,1040,City of Richmond - (IN),18,177.0,39.8028,-84.8953,COAL,0.04692,93.9,38322.134,31759,12792,3 miles,69.0,66.0,50.0,0.19,65.0,58.0,36.0,0.21,0.25,0.39,0.47,77.0,79.0,76.0,0.33,0.3,0.33,0.01,70.0,65.0,50.0,0.02,0.02,0.04,0.16,74.0,80.0,70.0,0.11,0.1,0.13,37.89289713054745
2428,2019,AK,University of Alaska Fairbanks,50711,University of Alaska,2,90.0,64.854171,-147.822075,COAL,0.08166,39.6,21779.51,24188,9102,3 miles,,,,0.34,52.0,71.0,54.0,0.39,0.28,0.39,0.24,54.0,43.0,41.0,0.25,0.3,0.33,0.01,59.0,51.0,48.0,0.02,0.03,0.04,0.06,49.0,44.0,35.0,0.07,0.09,0.13,1.2967368398226609
2480,2019,NE,Western Sugar Coop - Scottsbluff,57937,Western Sugar Cooperative,31,157.0,41.85887,-103.63438,COAL,0.63516,5.0,27820.0,21003,8498,3 miles,78.0,77.0,57.0,0.33,80.0,82.0,52.0,0.21,0.2,0.39,0.42,76.0,72.0,69.0,0.29,0.31,0.33,0.03,76.0,82.0,63.0,0.03,0.02,0.04,0.14,81.0,78.0,67.0,0.09,0.09,0.13,17.554866895916653
2520,2019,NE,Archer Daniels Midland Lincoln,10862,Archer Daniels Midland Co,31,109.0,40.866463,-96.614486,COAL,0.38845,7.9,26882.0,31570,13197,3 miles,32.0,35.0,27.0,0.13,50.0,52.0,26.0,0.21,0.2,0.39,0.32,62.0,57.0,56.0,0.29,0.31,0.33,0.01,61.0,69.0,47.0,0.03,0.02,0.04,0.06,52.0,45.0,37.0,0.09,0.09,0.13,1.3309562096065166
2560,2019,IA,Archer Daniels Midland Des Moines,10861,Archer Daniels Midland Co,19,153.0,41.624438,-93.584515,COAL,0.35771,7.9,24755.0,74468,26528,3 miles,90.0,84.0,65.0,0.39,91.0,84.0,57.0,0.14,0.2,0.39,0.45,84.0,77.0,74.0,0.29,0.31,0.33,0.05,88.0,89.0,73.0,0.02,0.02,0.04,0.19,90.0,87.0,77.0,0.08,0.09,0.13,1.2250794627392283
2618,2019,IN,R Gallagher,1008,"Duke Energy Indiana, LLC",18,43.0,38.2636,-85.8381,COAL,0.00412,600.0,18086.64,56681,21684,3 miles,90.0,88.0,77.0,0.66,92.0,88.0,76.0,0.21,0.25,0.39,0.6,88.0,89.0,88.0,0.33,0.3,0.33,0.0,65.0,59.0,45.0,0.02,0.02,0.04,0.2,83.0,87.0,78.0,0.11,0.1,0.13,6.931484167731794
2621,2019,MN,Southern Minnesota Beet Sugar,54533,Southern Minnesota Beet Sugar,27,129.0,44.796405,-95.179787,COAL,0.2996,7.5,16840.185,1494,567,3 miles,78.0,69.0,53.0,0.24,71.0,64.0,42.0,0.2,0.25,0.39,0.36,77.0,66.0,62.0,0.25,0.3,0.33,0.01,65.0,65.0,50.0,0.02,0.02,0.04,0.16,90.0,81.0,71.0,0.07,0.1,0.13,0.9517089617084008
2628,2019,VA,City Point Energy Center,10377,City Point Energy Center,51,670.0,37.2939,-77.2697,COAL,0.01706,114.8,17158.0,22422,8821,3 miles,81.0,80.0,71.0,0.47,66.0,71.0,64.0,0.38,0.33,0.39,0.43,81.0,80.0,72.0,0.25,0.27,0.33,0.01,60.0,63.0,51.0,0.03,0.03,0.04,0.17,79.0,81.0,74.0,0.11,0.1,0.13,1.0924252675116752
2630,2019,VA,"Spruance Genco, LLC",54081,Veolia Energy Operating Service,51,760.0,37.4556,-77.4308,COAL,0.00806,229.6,7923.914,36624,12978,3 miles,90.0,89.0,82.0,0.74,88.0,86.0,81.0,0.38,0.33,0.39,0.5,88.0,86.0,79.0,0.25,0.27,0.33,0.08,90.0,90.0,81.0,0.03,0.03,0.04,0.25,92.0,92.0,86.0,0.11,0.1,0.13,0.4181061550668464
2636,2019,MN,Hibbing,1979,Hibbing Public Utilities Comm,27,137.0,47.4294,-92.935,COAL,0.04768,35.9,8119.759,13173,5615,3 miles,77.0,68.0,53.0,0.07,31.0,29.0,15.0,0.2,0.25,0.39,0.42,84.0,74.0,70.0,0.25,0.3,0.33,0.01,64.0,64.0,49.0,0.02,0.02,0.04,0.09,72.0,57.0,49.0,0.07,0.1,0.13,0.6940551519481232
2655,2019,OH,Orrville,2935,City of Orrville - (OH),39,169.0,40.850964,-81.765764,COAL,0.02004,84.5,9121.006,10679,4394,3 miles,37.0,31.0,23.0,0.12,53.0,45.0,25.0,0.21,0.25,0.39,0.29,52.0,55.0,51.0,0.32,0.3,0.33,0.02,82.0,75.0,60.0,0.01,0.02,0.04,0.07,48.0,49.0,42.0,0.1,0.1,0.13,4.244549503657385
2662,2019,KY,HMP and L Station 2,1382,Big Rivers Electric Corp,21,101.0,37.6469,-87.5028,COAL,0.00384,405.0,13085.023,1040,371,3 miles,61.0,43.0,47.0,0.16,68.0,28.0,31.0,0.15,0.39,0.39,0.41,58.0,61.0,69.0,0.38,0.36,0.33,0.03,85.0,68.0,61.0,0.01,0.03,0.04,0.15,60.0,65.0,70.0,0.14,0.13,0.13,3.3459808381812604
2665,2019,IL,SIUC,57928,Southern Illinois University Carbondale,17,77.0,37.711944,-89.215,COAL,0.18189,5.1,8126.0,27804,10950,3 miles,80.0,89.0,78.0,0.4,60.0,77.0,58.0,0.38,0.25,0.39,0.62,91.0,90.0,89.0,0.29,0.3,0.33,0.04,66.0,81.0,67.0,0.05,0.02,0.04,0.05,33.0,34.0,29.0,0.11,0.1,0.13,1.053410653843004
2727,2019,CO,Western Sugar Coop- Ft Morgan,58081,Western Sugar Cooperative,8,87.0,40.263,-103.8069,COAL,0.26199,3.0,3993.0,14433,5286,3 miles,80.0,85.0,67.0,0.54,82.0,88.0,69.0,0.32,0.25,0.39,0.39,76.0,75.0,67.0,0.27,0.28,0.33,0.14,94.0,96.0,88.0,0.03,0.02,0.04,0.25,91.0,94.0,85.0,0.09,0.08,0.13,0.33301931016617736
2861,2019,MT,Western Sugar Cooperative - Billings,62319,Western Sugar Cooperative  - Billings,30,111.0,45.765346,-108.499232,COAL,0.38904,1.5,5111.256,38462,16665,3 miles,75.0,67.0,51.0,0.2,82.0,54.0,37.0,0.14,0.25,0.39,0.41,69.0,77.0,68.0,0.34,0.28,0.33,0.01,87.0,59.0,47.0,0.0,0.02,0.04,0.09,75.0,69.0,50.0,0.07,0.08,0.13,0.6666763885550585
2890,2019,MN,Archer Daniels Midland Mankato,10863,Archer Daniels Midland Co,27,13.0,44.187066,-93.99242,COAL,0.04186,10.5,3850.0,45599,18390,3 miles,56.0,52.0,39.0,0.14,54.0,49.0,28.0,0.2,0.25,0.39,0.38,79.0,68.0,64.0,0.25,0.3,0.33,0.01,65.0,64.0,49.0,0.02,0.02,0.04,0.06,56.0,42.0,35.0,0.07,0.1,0.13,0.200970352193352
2893,2019,OH,Wausau Paper Middletown,57940,Wausau Paper Middletown,39,17.0,39.519989,-84.406153,COAL,0.0437,7.5,2850.013,39711,16052,3 miles,76.0,73.0,58.0,0.21,68.0,60.0,38.0,0.21,0.25,0.39,0.48,77.0,80.0,78.0,0.32,0.3,0.33,0.02,77.0,69.0,54.0,0.01,0.02,0.04,0.18,85.0,85.0,76.0,0.1,0.1,0.13,0.3609853025392051
2895,2019,OH,Painesville,2936,City of Painesville,39,85.0,41.7265,-81.254,COAL,0.00546,55.5,2538.539,40995,15784,3 miles,57.0,51.0,39.0,0.25,73.0,66.0,44.0,0.21,0.25,0.39,0.31,55.0,58.0,54.0,0.32,0.3,0.33,0.03,83.0,76.0,61.0,0.01,0.02,0.04,0.13,72.0,73.0,63.0,0.1,0.1,0.13,1.0661860081650825
2896,2019,IA,Streeter Station,1131,Cedar Falls Utilities,19,13.0,42.5267,-92.4394,COAL,0.00188,51.5,34.786,43320,16125,3 miles,23.0,25.0,18.0,0.1,56.0,44.0,21.0,0.14,0.2,0.39,0.31,61.0,55.0,54.0,0.29,0.31,0.33,0.02,74.0,75.0,53.0,0.02,0.02,0.04,0.04,30.0,26.0,21.0,0.08,0.09,0.13,0.7548784653136525
2900,2019,MI,MSC Sebewaing,57949,Michigan Sugar Company,26,63.0,43.741111,-83.447222,COAL,0.03087,2.5,477.627,2454,1089,3 miles,54.0,57.0,43.0,0.07,28.0,29.0,15.0,0.25,0.25,0.39,0.22,37.0,41.0,38.0,0.33,0.3,0.33,0.0,63.0,59.0,45.0,0.02,0.02,0.04,0.07,46.0,46.0,39.0,0.09,0.1,0.13,0.08585113835104677
2926,2019,MI,Neenah Paper Munising Mill,54867,Neenah Paper Michigan Inc.,26,3.0,46.4094,-86.6443,COAL,0.01038,6.2,470.919,4027,1291,3 miles,63.0,65.0,50.0,0.18,59.0,56.0,34.0,0.25,0.25,0.39,0.34,59.0,63.0,59.0,0.33,0.3,0.33,0.0,63.0,59.0,45.0,0.02,0.02,0.04,0.1,65.0,64.0,55.0,0.09,0.1,0.13,0.07140968276858192
3285,2019,TX,J T Deely,6181,City of San Antonio - (TX),48,29.0,29.308056,-98.3228,COAL,0.0,932.0,-11272.42,2679,879,3 miles,50.0,57.0,70.0,0.53,45.0,53.0,68.0,0.58,0.52,0.39,0.42,63.0,61.0,70.0,0.35,0.37,0.33,0.08,65.0,73.0,79.0,0.08,0.06,0.04,0.18,61.0,63.0,74.0,0.17,0.16,0.13,0.0004085243698954758
3367,2019,IL,Tate & Lyle,10867,Tate & Lyle Ingredients Americas Inc,17,115.0,39.84919,-88.931944,COAL,0.0,64.8,,51516,22141,3 miles,62.0,74.0,58.0,0.36,57.0,75.0,55.0,0.38,0.25,0.39,0.47,79.0,79.0,76.0,0.29,0.3,0.33,0.0,45.0,60.0,45.0,0.05,0.02,0.04,0.13,69.0,74.0,64.0,0.11,0.1,0.13,8.321542699591756
